time,value
0.00002,1.2405
0.00003,1.2832
0.00004,1.3301
0.00005,1.3848
0.00007,1.4949
0.00013,1.7655
0.00015,1.8122
0.00016,1.8417
0.0002,1.9043
0.00025,1.9433
0.00028,1.951
0.0003,1.9647
0.00034,1.9673
0.00036,1.9807
0.00038,1.9741
0.00042,1.9843
0.00044,1.9777
0.00045,1.9832
0.0005,1.9865
0.00051,1.9924
0.00052,1.9871
0.00058,1.9962
0.00061,1.9911
0.00071,2.0024
0.00073,1.9968
0.00075,2.0048
0.00076,1.9993
0.00077,2.0057
0.00078,2.0004
0.00082,2.0078
0.00084,1.999
0.00086,2.0079
0.0009,2.0048
0.00091,2.0142
0.00092,2.0061
0.00095,2.0056
0.00106,2.0101
0.00107,2.0063
0.00108,2.0127
0.00109,2.0041
0.00111,2.0114
0.00112,2.0019
0.00113,2.0132
0.00114,2.0063
0.00116,2.012
0.00119,2.0105
0.0012,2.0026
0.00122,2.0094
0.00124,2.0034
0.00126,2.0107
0.00129,2.0012
0.00131,2.0061
0.00135,2.003
0.00136,2.009
0.00141,1.9982
0.00149,2.0002
0.0015,1.994
0.00159,1.9986
0.00162,1.992
0.00163,1.9982
0.00164,1.9883
0.00167,1.9973
0.00168,1.9904
0.00169,2.0024
0.0017,1.9905
0.00172,1.9973
0.00178,1.9832
0.00179,1.9907
0.00183,1.9823
0.00184,1.9905
0.00185,1.9818
0.00189,1.9843
0.0019,1.9781
0.00193,1.9821
0.00194,1.9741
0.00195,1.9823
0.00197,1.9766
0.002,1.9818
0.003,1.9314
0.005,1.907
0.006,1.9208
0.007,1.9191
0.009,1.9395
0.01,1.934
0.011,1.9418
0.012,1.9369
0.013,1.9435
0.014,1.9418
0.016,1.9519
0.017,1.9468
0.022,1.9583
0.025,1.9706
0.027,1.9682
0.035,1.9874
0.04,1.9926
0.041,1.985
0.043,1.9942
0.045,1.9907
0.047,1.9988
0.048,1.9942
0.049,2.0013
0.053,1.9966
0.055,2.0032
0.056,1.9988
0.057,2.0056
0.058,1.9995
0.064,2.0096
0.065,2.0017
0.072,2.0189
0.073,2.0083
0.076,2.0175
0.078,2.0142
0.081,2.0208
0.082,2.0109
0.084,2.0191
0.088,2.0164
0.092,2.0257
0.094,2.0164
0.095,2.0237
0.097,2.0206
0.098,2.0275
0.099,2.0224
0.103,2.0288
0.104,2.0215
0.11,2.0332
0.111,2.0264
0.118,2.0297
0.119,2.038
0.121,2.0341
0.122,2.0424
0.124,2.0312
0.129,2.0378
0.131,2.0334
0.132,2.0389
0.134,2.0358
0.135,2.0447
0.136,2.0385
0.144,2.0462
0.145,2.0414
0.146,2.0484
0.15,2.0435
0.151,2.0499
0.153,2.0407
0.154,2.0511
0.155,2.0449
0.158,2.0493
0.164,2.0458
0.165,2.051
0.169,2.0464
0.17,2.0526
0.175,2.0515
0.176,2.0587
0.177,2.0468
0.179,2.0539
0.184,2.0517
0.186,2.0603
0.187,2.0526
0.189,2.0623
0.192,2.0508
0.196,2.0634
0.197,2.0532
0.198,2.0574
0.201,2.0535
0.202,2.0629
0.204,2.0541
0.208,2.0587
0.209,2.0541
0.21,2.0616
0.217,2.0614
0.219,2.0502
0.222,2.064
0.228,2.0554
0.229,2.0684
0.231,2.0609
0.232,2.0671
0.234,2.0601
0.239,2.0643
0.24,2.0601
0.242,2.0755
0.243,2.0609
0.249,2.0728
0.251,2.0645
0.255,2.0678
0.256,2.0621
0.257,2.0687
0.264,2.063
0.267,2.0731
0.273,2.0599
0.275,2.0755
0.276,2.0656
0.283,2.0739
0.284,2.0674
0.285,2.0724
0.29,2.068
0.291,2.0771
0.293,2.0693
0.298,2.0799
0.303,2.0649
0.305,2.0755
0.306,2.0685
0.31,2.0792
0.312,2.0718
0.314,2.0832
0.32,2.0674
0.329,2.0814
0.33,2.0757
0.34,2.0828
0.345,2.0777
0.346,2.0858
0.35,2.075
0.353,2.0843
0.354,2.0759
0.356,2.0837
0.357,2.077
0.362,2.0828
0.363,2.0755
0.365,2.0848
0.366,2.0797
0.369,2.0858
0.37,2.0797
0.373,2.0885
0.374,2.0806
0.375,2.0867
0.385,2.0797
0.386,2.0883
0.388,2.0797
0.39,2.0872
0.393,2.0804
0.402,2.0874
0.405,2.0782
0.409,2.0874
0.411,2.0823
0.414,2.0889
0.416,2.0817
0.421,2.0887
0.424,2.0751
0.43,2.0891
0.433,2.0795
0.434,2.0885
0.438,2.0803
0.439,2.0881
0.445,2.0777
0.453,2.0885
0.456,2.0775
0.457,2.0878
0.459,2.0812
0.462,2.0858
0.471,2.0775
0.472,2.0852
0.475,2.0771
0.482,2.0858
0.487,2.0766
0.495,2.0847
0.501,2.0759
0.504,2.0817
0.507,2.0764
0.513,2.0804
0.518,2.0722
0.527,2.0837
0.528,2.0718
0.53,2.0823
0.532,2.0717
0.535,2.0792
0.538,2.074
0.543,2.0773
0.544,2.0673
0.549,2.0825
0.552,2.0733
0.554,2.0788
0.56,2.0711
0.563,2.0773
0.568,2.0669
0.578,2.0801
0.581,2.0687
0.586,2.0852
0.588,2.0696
0.597,2.0729
0.599,2.0682
0.603,2.0768
0.606,2.0674
0.611,2.079
0.613,2.0676
0.618,2.0773
0.622,2.0665
0.629,2.0709
0.631,2.0647
0.635,2.0715
0.636,2.0641
0.64,2.0728
0.646,2.0641
0.652,2.0718
0.661,2.0656
0.666,2.0742
0.667,2.0603
0.673,2.0713
0.674,2.0638
0.683,2.072
0.687,2.0629
0.689,2.0726
0.694,2.061
0.699,2.0731
0.708,2.0605
0.71,2.0728
0.711,2.0647
0.721,2.0729
0.722,2.0614
0.723,2.0685
0.734,2.0634
0.74,2.0717
0.741,2.061
0.749,2.0676
0.757,2.0599
0.765,2.0704
0.768,2.0585
0.77,2.0706
0.777,2.0599
0.782,2.0706
0.784,2.0601
0.791,2.0728
0.792,2.061
0.794,2.0698
0.807,2.0618
0.812,2.0718
0.815,2.0614
0.817,2.0713
0.822,2.057
0.828,2.0684
0.845,2.0581
0.846,2.0676
0.848,2.0598
0.855,2.0676
0.866,2.0576
0.879,2.0654
0.887,2.0555
0.898,2.0654
0.908,2.0583
0.909,2.0663
0.912,2.0533
0.913,2.063
0.919,2.0541
0.921,2.064
