x,y
0.000020,1.240500
0.000023,1.254733
0.000026,1.268967
0.000030,1.283200
0.000035,1.306650
0.000040,1.330100
0.000045,1.357450
0.000050,1.384800
0.000055,1.415650
0.000060,1.446500
0.000065,1.470700
0.000070,1.494900
0.000075,1.521800
0.000080,1.548700
0.000085,1.575700
0.000090,1.602700
0.000095,1.625700
0.000100,1.648700
0.000105,1.672200
0.000110,1.695700
0.000115,1.712550
0.000120,1.729400
0.000125,1.747450
0.000130,1.765500
0.000135,1.778050
0.000140,1.790600
0.000150,1.812200
0.000160,1.836300
0.000170,1.860400
0.000184,1.882350
0.000200,1.904300
0.000214,1.915850
0.000230,1.927400
0.000245,1.936000
0.000260,1.944600
0.000279,1.954650
0.000300,1.964700
0.000319,1.966000
0.000340,1.967300
0.000364,1.972500
0.000390,1.977700
0.000414,1.977700
0.000440,1.977700
0.000469,1.982100
0.000500,1.986500
0.000534,1.990700
0.000570,1.994900
0.000604,1.994900
0.000640,1.994900
0.000679,1.997850
0.000720,2.000800
0.000764,2.004100
0.000810,2.007400
0.000859,2.010800
0.000910,2.014200
0.000968,2.011800
0.001030,2.009400
0.001093,2.010700
0.001160,2.012000
0.001233,2.009050
0.001310,2.006100
0.001388,2.003350
0.001470,2.000600
0.001557,1.994850
0.001650,1.989100
0.001752,1.986150
0.001860,1.983200
0.001929,1.982500
0.002000,1.981800
0.002289,1.965000
0.002621,1.948200
0.003000,1.931400
0.003464,1.923450
0.004000,1.915500
0.004472,1.911250
0.005000,1.907000
0.005477,1.913900
0.006000,1.920800
0.006481,1.919950
0.007000,1.919100
0.007483,1.925350
0.008000,1.931600
0.008485,1.935550
0.009000,1.939500
0.009487,1.936750
0.010000,1.934000
0.010488,1.937900
0.011000,1.941800
0.011489,1.939350
0.012000,1.936900
0.012490,1.940200
0.013000,1.943500
0.013491,1.942650
0.014000,1.941800
0.015000,1.949300
0.015969,1.948050
0.017000,1.946800
0.018439,1.950450
0.020000,1.954100
0.021448,1.958700
0.023000,1.963300
0.024454,1.966300
0.026000,1.969300
0.027928,1.974050
0.030000,1.978800
0.031937,1.981450
0.034000,1.984100
0.036414,1.987950
0.039000,1.991800
0.041425,1.992550
0.044000,1.993300
0.046904,1.996200
0.050000,1.999100
0.053385,2.002350
0.057000,2.005600
0.060399,2.007600
0.064000,2.009600
0.067882,2.014250
0.072000,2.018900
0.076368,2.019850
0.081000,2.020800
0.085855,2.022500
0.091000,2.024200
0.096814,2.026500
0.103000,2.028800
0.109307,2.028600
0.116000,2.028400
0.123272,2.030900
0.131000,2.033400
0.138770,2.038500
0.147000,2.043600
0.155740,2.047300
0.165000,2.051000
0.175186,2.055650
0.186000,2.060300
0.197165,2.057200
0.209000,2.054100
0.221619,2.059050
0.235000,2.064000
0.249078,2.063500
0.264000,2.063000
0.280014,2.069600
0.297000,2.076200
0.314957,2.077050
0.334000,2.077900
0.353907,2.082300
0.375000,2.086700
0.397335,2.087700
0.421000,2.088700
0.446243,2.084750
0.473000,2.080800
0.501162,2.077700
0.531000,2.074600
0.562562,2.072600
0.596000,2.070600
0.631446,2.069400
0.669000,2.068200
0.708815,2.065000
0.751000,2.061800
0.795671,2.062150
0.843000,2.062500
0.893016,2.063800
0.946000,2.065100
1.000000,2.063600
1.148698,2.057820
1.319508,2.052040
1.515717,2.046260
1.741101,2.040480
2.000000,2.034700
2.289428,2.027300
2.620741,2.019900
3.000000,2.012500
3.464102,1.998200
4.000000,1.983900
4.472136,1.973600
5.000000,1.963300
5.477226,1.956700
6.000000,1.950100
6.480741,1.944400
7.000000,1.938700
7.483315,1.934400
8.000000,1.930100
8.485281,1.928350
9.000000,1.926600
9.486833,1.912450
10.000000,1.898300
10.488088,1.892250
11.000000,1.886200
11.489125,1.877050
12.000000,1.867900
12.489996,1.862500
13.000000,1.857100
13.490738,1.852500
14.000000,1.847900
15.000000,1.835300
15.968719,1.820100
17.000000,1.804900
18.439089,1.793050
20.000000,1.781200
21.447611,1.763650
23.000000,1.746100
24.454039,1.733350
26.000000,1.720600
27.928480,1.707150
30.000000,1.693700
31.937439,1.681800
34.000000,1.669900
36.414283,1.654250
39.000000,1.638600
41.424630,1.625400
44.000000,1.612200
46.904158,1.601900
50.000000,1.591600
53.385391,1.574350
57.000000,1.557100
60.398675,1.547700
64.000000,1.538300
67.882251,1.526000
72.000000,1.513700
76.367532,1.500800
81.000000,1.487900
85.854528,1.480300
91.000000,1.472700
95.393920,1.461900
100.000000,1.451100
