x,y
0.000020,1.649800
0.000023,1.667367
0.000026,1.684933
0.000030,1.702500
0.000035,1.730350
0.000040,1.758200
0.000045,1.785850
0.000050,1.813500
0.000055,1.846000
0.000060,1.878500
0.000065,1.904500
0.000070,1.930500
0.000075,1.954400
0.000080,1.978300
0.000085,2.005950
0.000090,2.033600
0.000095,2.054300
0.000100,2.075000
0.000105,2.089700
0.000110,2.104400
0.000115,2.121900
0.000120,2.139400
0.000125,2.151300
0.000130,2.163200
0.000135,2.177600
0.000140,2.192000
0.000150,2.208800
0.000160,2.224650
0.000170,2.240500
0.000184,2.253650
0.000200,2.266800
0.000214,2.276250
0.000230,2.285700
0.000245,2.294600
0.000260,2.303500
0.000279,2.306150
0.000300,2.308800
0.000319,2.313350
0.000340,2.317900
0.000364,2.324800
0.000390,2.331700
0.000414,2.331700
0.000440,2.331700
0.000469,2.333250
0.000500,2.334800
0.000534,2.337250
0.000570,2.339700
0.000604,2.340800
0.000640,2.341900
0.000679,2.343350
0.000720,2.344800
0.000764,2.345550
0.000810,2.346300
0.000859,2.343550
0.000910,2.340800
0.000968,2.342000
0.001030,2.343200
0.001093,2.342750
0.001160,2.342300
0.001233,2.341000
0.001310,2.339700
0.001388,2.334950
0.001470,2.330200
0.001557,2.325550
0.001650,2.320900
0.001752,2.316200
0.001860,2.311500
0.001929,2.302650
0.002000,2.293800
0.002289,2.281267
0.002621,2.268733
0.003000,2.256200
0.003464,2.242400
0.004000,2.228600
0.004472,2.226750
0.005000,2.224900
0.005477,2.227850
0.006000,2.230800
0.006481,2.231600
0.007000,2.232400
0.007483,2.228000
0.008000,2.223600
0.008485,2.226550
0.009000,2.229500
0.009487,2.227750
0.010000,2.226000
0.010488,2.230200
0.011000,2.234400
0.011489,2.233600
0.012000,2.232800
0.012490,2.229850
0.013000,2.226900
0.013491,2.234500
0.014000,2.242100
0.015000,2.233900
0.015969,2.233150
0.017000,2.232400
0.018439,2.233250
0.020000,2.234100
0.021448,2.236650
0.023000,2.239200
0.024454,2.241500
0.026000,2.243800
0.027928,2.244050
0.030000,2.244300
0.031937,2.247700
0.034000,2.251100
0.036414,2.252300
0.039000,2.253500
0.041425,2.254850
0.044000,2.256200
0.046904,2.260500
0.050000,2.264800
0.053385,2.265800
0.057000,2.266800
0.060399,2.264700
0.064000,2.262600
0.067882,2.267100
0.072000,2.271600
0.076368,2.273600
0.081000,2.275600
0.085855,2.277100
0.091000,2.278600
0.096814,2.279200
0.103000,2.279800
0.109307,2.280900
0.116000,2.282000
0.123272,2.284200
0.131000,2.286400
0.138770,2.290100
0.147000,2.293800
0.155740,2.297250
0.165000,2.300700
0.175186,2.303200
0.186000,2.305700
0.197165,2.310250
0.209000,2.314800
0.221619,2.319750
0.235000,2.324700
0.249078,2.325700
0.264000,2.326700
0.280014,2.333200
0.297000,2.339700
0.314957,2.343750
0.334000,2.347800
0.353907,2.354300
0.375000,2.360800
0.397335,2.366750
0.421000,2.372700
0.446243,2.375000
0.473000,2.377300
0.501162,2.376550
0.531000,2.375800
0.562562,2.375050
0.596000,2.374300
0.631446,2.367450
0.669000,2.360600
0.708815,2.361700
0.751000,2.362800
0.795671,2.358300
0.843000,2.353800
0.893016,2.352800
0.946000,2.351800
1.000000,2.352000
1.148698,2.346140
1.319508,2.340280
1.515717,2.334420
1.741101,2.328560
2.000000,2.322700
2.289428,2.316833
2.620741,2.310967
3.000000,2.305100
3.464102,2.291100
4.000000,2.277100
4.472136,2.267100
5.000000,2.257100
5.477226,2.248350
6.000000,2.239600
6.480741,2.237300
7.000000,2.235000
7.483315,2.227200
8.000000,2.219400
8.485281,2.210050
9.000000,2.200700
9.486833,2.194300
10.000000,2.187900
10.488088,2.179050
11.000000,2.170200
11.489125,2.161300
12.000000,2.152400
12.489996,2.145000
13.000000,2.137600
13.490738,2.132350
14.000000,2.127100
15.000000,2.105900
15.968719,2.098850
17.000000,2.091800
18.439089,2.074500
20.000000,2.057200
21.447611,2.046950
23.000000,2.036700
24.454039,2.025800
26.000000,2.014900
27.928480,2.002800
30.000000,1.990700
31.937439,1.979200
34.000000,1.967700
36.414283,1.959700
39.000000,1.951700
41.424630,1.940800
44.000000,1.929900
46.904158,1.922850
50.000000,1.915800
53.385391,1.905550
57.000000,1.895300
60.398675,1.892200
64.000000,1.889100
67.882251,1.880050
72.000000,1.871000
76.367532,1.872900
81.000000,1.874800
85.854528,1.867100
91.000000,1.859400
96.814255,1.854650
103.000000,1.849900
109.306907,1.846800
116.000000,1.843700
123.272057,1.846000
131.000000,1.848300
138.769593,1.845700
147.000000,1.843100
155.740168,1.842650
165.000000,1.842200
175.185616,1.840850
186.000000,1.839500
197.164906,1.843150
209.000000,1.846800
221.619043,1.841950
235.000000,1.837100
249.078301,1.836550
264.000000,1.836000
280.014285,1.836350
297.000000,1.836700
314.957140,1.836350
334.000000,1.836000
353.906767,1.832150
375.000000,1.828300
397.334871,1.828400
421.000000,1.828500
446.243207,1.830900
473.000000,1.833300
501.161651,1.831150
531.000000,1.829000
562.561997,1.827000
596.000000,1.825000
600.000000,1.819900
