x,y
0.000020,0.269530
0.000023,0.268980
0.000026,0.268430
0.000030,0.267880
0.000035,0.271820
0.000040,0.275760
0.000045,0.273010
0.000050,0.270260
0.000055,0.273925
0.000060,0.277590
0.000065,0.273560
0.000070,0.269530
0.000075,0.273835
0.000080,0.278140
0.000085,0.279055
0.000090,0.279970
0.000095,0.285280
0.000100,0.290590
0.000105,0.286650
0.000110,0.282710
0.000115,0.286560
0.000120,0.290410
0.000125,0.290315
0.000130,0.290220
0.000135,0.294160
0.000140,0.298100
0.000150,0.297550
0.000160,0.298740
0.000170,0.299930
0.000184,0.304325
0.000200,0.308720
0.000214,0.314120
0.000230,0.319520
0.000245,0.321810
0.000260,0.324100
0.000279,0.331790
0.000300,0.339480
0.000319,0.344425
0.000340,0.349370
0.000364,0.353030
0.000390,0.356690
0.000414,0.361910
0.000440,0.367130
0.000469,0.373355
0.000500,0.379580
0.000534,0.384890
0.000570,0.390200
0.000604,0.393495
0.000640,0.396790
0.000679,0.401365
0.000720,0.405940
0.000764,0.407955
0.000810,0.409970
0.000859,0.413540
0.000910,0.417110
0.000968,0.421140
0.001030,0.425170
0.001093,0.421690
0.001160,0.418210
0.001233,0.420315
0.001310,0.422420
0.001388,0.423980
0.001470,0.425540
0.001557,0.425995
0.001650,0.426450
0.001752,0.425900
0.001860,0.425350
0.001929,0.422330
0.002000,0.419310
0.002289,0.420653
0.002621,0.421997
0.003000,0.423340
0.003464,0.423155
0.004000,0.422970
0.004472,0.420315
0.005000,0.417660
0.005477,0.420865
0.006000,0.424070
0.006481,0.423890
0.007000,0.423710
0.007483,0.426180
0.008000,0.428650
0.008485,0.428465
0.009000,0.428280
0.009487,0.431210
0.010000,0.434140
0.010488,0.433135
0.011000,0.432130
0.011489,0.433870
0.012000,0.435610
0.012490,0.435245
0.013000,0.434880
0.013491,0.436345
0.014000,0.437810
0.015000,0.443120
0.015969,0.445955
0.017000,0.448790
0.018439,0.447050
0.020000,0.445310
0.021448,0.446500
0.023000,0.447690
0.024454,0.447785
0.026000,0.447880
0.027928,0.448975
0.030000,0.450070
0.031937,0.453370
0.034000,0.456670
0.036414,0.455845
0.039000,0.455020
0.041425,0.454105
0.044000,0.453190
0.046904,0.453645
0.050000,0.454100
0.053385,0.456300
0.057000,0.458500
0.060399,0.456390
0.064000,0.454280
0.067882,0.457945
0.072000,0.461610
0.076368,0.463805
0.081000,0.466000
0.085855,0.465180
0.091000,0.464360
0.096814,0.467835
0.103000,0.471310
0.109307,0.472320
0.116000,0.473330
0.123272,0.475985
0.131000,0.478640
0.138770,0.478275
0.147000,0.477910
0.155740,0.477910
0.165000,0.477910
0.175186,0.479100
0.186000,0.480290
0.197165,0.481660
0.209000,0.483030
0.221619,0.481750
0.235000,0.480470
0.249078,0.481295
0.264000,0.482120
0.280014,0.483585
0.297000,0.485050
0.314957,0.482940
0.334000,0.480830
0.353907,0.483580
0.375000,0.486330
0.397335,0.484500
0.421000,0.482670
0.446243,0.482210
0.473000,0.481750
0.501162,0.483400
0.531000,0.485050
0.562562,0.479280
0.596000,0.473510
0.631446,0.473785
0.669000,0.474060
0.708815,0.469755
0.751000,0.465450
0.795671,0.466915
0.843000,0.468380
0.893016,0.468750
0.946000,0.469120
1.000000,0.467100
1.148698,0.465196
1.319508,0.463292
1.515717,0.461388
1.741101,0.459484
2.000000,0.457580
2.289428,0.457520
2.620741,0.457460
3.000000,0.457400
3.464102,0.455295
4.000000,0.453190
4.472136,0.455385
5.000000,0.457580
5.477226,0.457215
6.000000,0.456850
6.480741,0.456025
7.000000,0.455200
7.483315,0.457580
8.000000,0.459960
8.485281,0.454560
9.000000,0.449160
9.486833,0.449985
10.000000,0.450810
10.488088,0.449345
11.000000,0.447880
11.489125,0.449070
12.000000,0.450260
12.489996,0.450990
13.000000,0.451720
13.490738,0.448425
14.000000,0.445130
15.000000,0.445680
15.968719,0.445590
17.000000,0.445500
18.439089,0.444035
20.000000,0.442570
21.447611,0.437715
23.000000,0.432860
24.454039,0.435240
26.000000,0.437620
27.928480,0.439270
30.000000,0.440920
31.937439,0.439455
34.000000,0.437990
36.414283,0.434325
39.000000,0.430660
41.424630,0.430205
44.000000,0.429750
46.904158,0.432040
50.000000,0.434330
53.385391,0.431125
57.000000,0.427920
60.398675,0.425815
64.000000,0.423710
67.882251,0.423435
72.000000,0.423160
76.367532,0.419220
81.000000,0.415280
85.854528,0.412720
91.000000,0.410160
95.393920,0.414370
100.000000,0.418580
