time,values
2e-05,1.2405
3e-05,1.2832
4e-05,1.3301
5e-05,1.3848
6e-05,1.4465
7e-05,1.4949
8e-05,1.5487
9e-05,1.6027
0.0001,1.6487
0.00011,1.6957
0.00012,1.7294
0.00013,1.7655
0.00014,1.7906
0.00015,1.8122
0.00016,1.8417
0.00017,1.8604
0.00018,1.8792
0.00019,1.8896
0.0002,1.9043
0.00021,1.9136
0.00022,1.9226
0.00023,1.9274
0.00024,1.936
0.00025,1.9433
0.00026,1.9446
0.00027,1.9497
0.00028,1.951
0.00029,1.959
0.0003,1.9647
0.00031,1.9647
0.00032,1.9653
0.00033,1.9658
0.00034,1.9673
0.00035,1.9704
0.00036,1.9807
0.00037,1.9763
0.00038,1.9741
0.00039,1.9777
0.0004,1.9759
0.00041,1.9814
0.00042,1.9843
0.00043,1.9839
0.00044,1.9777
0.00045,1.9832
0.00046,1.9847
0.00047,1.9828
0.00048,1.9827
0.00049,1.9874
0.0005,1.9865
0.00051,1.9924
0.00052,1.9871
0.00053,1.9907
0.00054,1.9924
0.00055,1.9894
0.00056,1.994
0.00057,1.9949
0.00058,1.9962
0.00059,1.9938
0.0006,1.9931
0.00061,1.9911
0.00062,1.9951
0.00063,1.9938
0.00064,1.9949
0.00065,1.9953
0.00066,1.9949
0.00067,1.999
0.00068,1.9973
0.00069,1.9984
0.0007,1.9993
0.00071,2.0024
0.00072,2.0008
0.00073,1.9968
0.00074,1.9995
0.00075,2.0048
0.00076,1.9993
0.00077,2.0057
0.00078,2.0004
0.00079,2.0061
0.0008,2.0023
0.00081,2.0074
0.00082,2.0078
0.00083,2.0039
0.00084,1.999
0.00085,2.0041
0.00086,2.0079
0.00087,2.0035
0.00088,2.0096
0.00089,2.0065
0.0009,2.0048
0.00091,2.0142
0.00092,2.0061
0.00093,2.007
0.00094,2.0089
0.00095,2.0056
0.00096,2.0067
0.00097,2.0061
0.00098,2.0078
0.00099,2.0076
0.001,2.0068
0.00101,2.0068
0.00102,2.0074
0.00103,2.0094
0.00104,2.0089
0.00105,2.0072
0.00106,2.0101
0.00107,2.0063
0.00108,2.0127
0.00109,2.0041
0.0011,2.0089
0.00111,2.0114
0.00112,2.0019
0.00113,2.0132
0.00114,2.0063
0.00115,2.0079
0.00116,2.012
0.00117,2.0121
