time,values
2e-05,1.6498
3e-05,1.7025
4e-05,1.7582
5e-05,1.8135
6e-05,1.8785
7e-05,1.9305
8e-05,1.9783
9e-05,2.0336
0.0001,2.075
0.00011,2.1044
0.00012,2.1394
0.00013,2.1632
0.00014,2.192
0.00015,2.2088
0.00016,2.2308
0.00017,2.2405
0.00018,2.2542
0.00019,2.2667
0.0002,2.2668
0.00021,2.2767
0.00022,2.2906
0.00023,2.2857
0.00024,2.2971
0.00025,2.3015
0.00026,2.3035
0.00027,2.304
0.00028,2.3058
0.00029,2.3108
0.0003,2.3088
0.00031,2.3148
0.00032,2.3161
0.00033,2.3174
0.00034,2.3179
0.00035,2.3236
0.00036,2.3291
0.00037,2.3271
0.00038,2.3232
0.00039,2.3317
0.0004,2.3229
0.00041,2.3324
0.00042,2.3271
0.00043,2.3265
0.00044,2.3317
0.00045,2.3324
0.00046,2.3302
0.00047,2.3351
0.00048,2.335
0.00049,2.3351
0.0005,2.3348
0.00051,2.3346
0.00052,2.3355
0.00053,2.3344
0.00054,2.3419
0.00055,2.3394
0.00056,2.3351
0.00057,2.3397
0.00058,2.3399
0.00059,2.3447
0.0006,2.3395
0.00061,2.3458
0.00062,2.3408
0.00063,2.3362
0.00064,2.3419
0.00065,2.3406
0.00066,2.3412
0.00067,2.347
0.00068,2.3416
0.00069,2.3419
0.0007,2.3434
0.00071,2.3441
0.00072,2.3448
0.00073,2.345
0.00074,2.3437
0.00075,2.3423
0.00076,2.3474
0.00077,2.345
0.00078,2.341
0.00079,2.343
0.0008,2.3441
0.00081,2.3463
0.00082,2.347
0.00083,2.3419
0.00084,2.3432
0.00085,2.3447
0.00086,2.3401
0.00087,2.3485
0.00088,2.3483
0.00089,2.3445
0.0009,2.3441
0.00091,2.3408
0.00092,2.3428
0.00093,2.3513
0.00094,2.3405
0.00095,2.345
0.00096,2.3476
0.00097,2.3443
0.00098,2.3463
0.00099,2.3456
0.001,2.3463
0.00101,2.3458
0.00102,2.3459
0.00103,2.3432
0.00104,2.3459
0.00105,2.3434
0.00106,2.337
0.00107,2.3397
0.00108,2.3469
0.00109,2.3408
0.0011,2.3408
0.00111,2.3373
0.00112,2.341
0.00113,2.3342
0.00114,2.3384
0.00115,2.3394
0.00116,2.3423
0.00117,2.3403
0.00118,2.3361
0.00119,2.337
0.0012,2.3375
0.00121,2.3416
0.00122,2.3377
0.00123,2.3421
0.00124,2.3399
0.00125,2.3366
0.00126,2.3388
0.00127,2.339
0.00128,2.3383
0.00129,2.3351
0.0013,2.3339
0.00131,2.3397
0.00132,2.3366
0.00133,2.3401
0.00134,2.3306
0.00135,2.3381
0.00136,2.3353
0.00137,2.3359
0.00138,2.3286
0.00139,2.334
0.0014,2.3311
0.00141,2.3317
0.00142,2.3251
0.00143,2.3307
0.00144,2.3333
0.00145,2.3258
0.00146,2.3253
0.00147,2.3302
0.00148,2.328
0.00149,2.3273
0.0015,2.33
0.00151,2.3234
0.00152,2.3289
0.00153,2.3276
0.00154,2.3234
0.00155,2.3262
0.00156,2.3232
0.00157,2.322
0.00158,2.3218
0.00159,2.3284
0.0016,2.3183
0.00161,2.3229
0.00162,2.3209
0.00163,2.3174
0.00164,2.3229
0.00165,2.3209
0.00166,2.3141
0.00167,2.319
0.00168,2.3221
0.00169,2.3232
0.0017,2.3218
0.00171,2.3156
0.00172,2.3183
0.00173,2.3165
0.00174,2.3187
0.00175,2.3157
0.00176,2.3148
0.00177,2.3168
0.00178,2.3073
0.00179,2.3146
0.0018,2.3088
0.00181,2.3143
0.00182,2.3134
0.00183,2.3137
0.00184,2.3058
0.00185,2.3124
0.00186,2.3115
0.00187,2.3057
0.00188,2.3093
0.00189,2.309
0.0019,2.3108
0.00191,2.3033
0.00192,2.3066
0.00193,2.3022
0.00194,2.2993
0.00195,2.3038
0.00196,2.3015
0.00197,2.3038
0.00198,2.2967
0.00199,2.3004
0.002,2.2938
0.003,2.2562
0.004,2.2286
0.005,2.2249
0.006,2.2308
0.007,2.2324
0.008,2.2236
0.009,2.2295
0.01,2.226
0.011,2.2344
0.012,2.2328
0.013,2.2269
0.014,2.2421
0.015,2.2339
0.016,2.23
0.017,2.2324
0.018,2.2308
0.019,2.2473
0.02,2.2341
0.021,2.2319
0.022,2.2357
0.023,2.2392
0.024,2.2359
0.025,2.2432
0.026,2.2438
0.027,2.2463
0.028,2.2438
0.029,2.2429
0.03,2.2443
0.031,2.2474
0.032,2.2456
0.033,2.2484
0.034,2.2511
0.035,2.2505
0.036,2.2507
0.037,2.2489
0.038,2.2526
0.039,2.2535
0.04,2.2559
0.041,2.2509
0.042,2.2511
0.043,2.2511
0.044,2.2562
0.045,2.2581
0.046,2.2555
0.047,2.2599
0.048,2.2597
0.049,2.2612
0.05,2.2648
0.051,2.2626
0.052,2.2615
0.053,2.2582
0.054,2.259
0.055,2.2678
0.056,2.2604
0.057,2.2668
0.058,2.2643
0.059,2.2604
0.06,2.2635
0.061,2.2668
0.062,2.2648
0.063,2.2674
0.064,2.2626
0.065,2.2712
0.066,2.2668
0.067,2.2703
0.068,2.2657
0.069,2.2654
0.07,2.2643
0.071,2.2725
0.072,2.2716
0.073,2.2692
0.074,2.2694
0.075,2.2716
0.076,2.2709
0.077,2.2718
0.078,2.2745
0.079,2.2694
0.08,2.269
0.081,2.2756
0.082,2.2744
0.083,2.2749
0.084,2.2718
0.085,2.2749
0.086,2.2766
0.087,2.2771
0.088,2.2753
0.089,2.2769
0.09,2.2771
0.091,2.2786
0.092,2.2749
0.093,2.276
0.094,2.2762
0.095,2.285
0.096,2.2822
0.097,2.2813
0.098,2.2831
0.099,2.2791
0.1,2.2764
0.101,2.2798
0.102,2.2786
0.103,2.2798
0.104,2.2755
0.105,2.2806
0.106,2.2826
0.107,2.2806
0.108,2.2848
0.109,2.2804
0.11,2.2808
0.111,2.283
0.112,2.2766
0.113,2.2811
0.114,2.2863
0.115,2.2868
0.116,2.282
0.117,2.2822
0.118,2.2859
0.119,2.2872
0.12,2.2857
0.121,2.2938
0.122,2.2793
0.123,2.2852
0.124,2.2853
0.125,2.2841
0.126,2.287
0.127,2.2855
0.128,2.2863
0.129,2.2835
0.13,2.2912
0.131,2.2864
0.132,2.2872
0.133,2.2916
0.134,2.2901
0.135,2.2863
0.136,2.2916
0.137,2.2905
0.138,2.2899
0.139,2.2896
0.14,2.2886
0.141,2.2899
0.142,2.2932
