X	Series102
0,02	100
0,03	100,8
0,04	103
0,05	104,8
0,1	111
0,15	118,6
0,2	125,9
0,25	132,8
0,3	138,3
0,4	149,5
0,5	160,1
0,6	167,6
0,7	174,1
0,8	179,5
0,9	182,7
1	186,6
1,2	191
1,3	192,9
1,4	195
1,5	195,7
1,6	196
1,7	197,4
1,8	198
1,91	199
2	198,3
3	199,8
4	200,5
5	203,7
6	208,8
7	212,5
8	216,1
9	220,5
10	222,6
11	225,3
12	227,4
13	229,2
14	230,8
15	233,1
16	234,8
17	236,4
18	236,9
19	239,2
20	241
21	242,3
22	243,3
23	244,4
24	245,4
25	247,5
26	247,9
27	248,6
28	250
29	250,6
30	251,4
35	253,8
40	256,5
45	257,8
50	258
55	258,8
60	259,5
70	259,5
76	260,1
80	261,6
87	262,8
90	263,1
95	265,3
96	265
100	266
105	267,6
106	268,1
110	269,8
115	271,5
120	274
125	275,1
130	276,1
132	277,1
135	278,1
140	279
145	279,5
148	280
150	279,8
151	280,1
160	280,5
166	281,1
180	281,9
187	283
196	282,6
201	282,2
205	281,6
212	282,7
213	282
219	283
225	282,7
242	282
247	282,9
254	282,2
256	281,2
269	282,7
274	282,1
275	281,5
294	282,2
296	280,7
328	281
330	280
333	280,2
345	281,5
364	280
375	281
383	280,8
392	280
398	280,4
400	281,1
401	281,3
405	280,4
408	279,8
410	280,6
412	280,7
425	279,9
436	278,8
458	279,1
484	279
495	278,4
500	279,1
508	278,2
514	279,9
524	279,5
530	277,6
532	278,4
536	279,4
537	279
550	278,5
575	277,3
580	277,9
588	278,7
595	277,4
598	277,7
604	276,6
610	278,3
616	278,4
622	277,2
625	276,7
628	277,6
632	277
637	278
665	276,5
700	275,9
710	275
715	275,8
733	276
752	276,5
765	275,1
773	274,1
775	275,9
784	275
798	274,5
800	274,9
808	275,4
812	274,7
896	273,5
924	273,8
927	272,2
931	274,4
974	273
987	272,3
994	271,6
997	272,1
998	272,6
999	273
1000	272,7
2000	257,4
3000	232,7
4000	195,4
5000	165,3
6000	150,5
7000	141,7
8000	136,9
9000	134,6
10000	132,6
11000	131,5
13000	130,1
14000	129,7
15000	130,5
17000	130,2
18000	130

